cOUnty,statE,statE_cOdE,pOpUlatIOn
Benton County,Minnesota,MN,39779
Big Stone County,Minnesota,MN,5016
Blue Earth County,Minnesota,MN,66322
Brown County,Minnesota,MN,25211
Carlton County,Minnesota,MN,35540
Carver County,Minnesota,MN,100416
Cass County,Minnesota,MN,29022
Chippewa County,Minnesota,MN,12010
Chisago County,Minnesota,MN,54727
Clay County,Minnesota,MN,62801
Clearwater County,Minnesota,MN,8812
Cook County,Minnesota,MN,5311
Cottonwood County,Minnesota,MN,11372
Crow Wing County,Minnesota,MN,63855
Dakota County,Minnesota,MN,418201
Dodge County,Minnesota,MN,20582
Douglas County,Minnesota,MN,37203
Faribault County,Minnesota,MN,13896
Fillmore County,Minnesota,MN,20888
Freeborn County,Minnesota,MN,30526
Goodhue County,Minnesota,MN,46217
Grant County,Minnesota,MN,5938
Hennepin County,Minnesota,MN,1235478
Houston County,Minnesota,MN,18663
Hubbard County,Minnesota,MN,20862
Isanti County,Minnesota,MN,38974
Itasca County,Minnesota,MN,45203
Jackson County,Minnesota,MN,10047
Kanabec County,Minnesota,MN,16004
Kandiyohi County,Minnesota,MN,42658
Kittson County,Minnesota,MN,4337
Koochiching County,Minnesota,MN,12644
Lac qui Parle County,Minnesota,MN,6773
Lake County,Minnesota,MN,10569
Lake of the Woods County,Minnesota,MN,3809
Le Sueur County,Minnesota,MN,27983
Lincoln County,Minnesota,MN,5707
Lyon County,Minnesota,MN,25839
McLeod County,Minnesota,MN,35825
Mahnomen County,Minnesota,MN,5506
Marshall County,Minnesota,MN,9392
Martin County,Minnesota,MN,19964
Meeker County,Minnesota,MN,23079
Mille Lacs County,Minnesota,MN,25728
Morrison County,Minnesota,MN,32949
Mower County,Minnesota,MN,39602
Murray County,Minnesota,MN,8353
Nicollet County,Minnesota,MN,33783
Nobles County,Minnesota,MN,21839
Norman County,Minnesota,MN,6559
Olmsted County,Minnesota,MN,153065
Otter Tail County,Minnesota,MN,57992
Pennington County,Minnesota,MN,14184
Pine County,Minnesota,MN,29129
Pipestone County,Minnesota,MN,9185
Polk County,Minnesota,MN,31591
Pope County,Minnesota,MN,10980
Ramsey County,Minnesota,MN,541493
Red Lake County,Minnesota,MN,4008
Redwood County,Minnesota,MN,15331
Renville County,Minnesota,MN,14721
Rice County,Minnesota,MN,65765
Rock County,Minnesota,MN,9413
Roseau County,Minnesota,MN,15462
St. Louis County,Minnesota,MN,200080
Scott County,Minnesota,MN,143372
Sherburne County,Minnesota,MN,93231
Sibley County,Minnesota,MN,14912
Stearns County,Minnesota,MN,156819
Steele County,Minnesota,MN,36676
Stevens County,Minnesota,MN,9784
Swift County,Minnesota,MN,9411
Todd County,Minnesota,MN,24440
Traverse County,Minnesota,MN,3337
Wabasha County,Minnesota,MN,21500
Wadena County,Minnesota,MN,13646
Waseca County,Minnesota,MN,18809
Washington County,Minnesota,MN,253317
Watonwan County,Minnesota,MN,10973
Wilkin County,Minnesota,MN,6343
Winona County,Minnesota,MN,50847
Wright County,Minnesota,MN,132745
Yellow Medicine County,Minnesota,MN,9868
Adams County,Mississippi,MS,31547
Alcorn County,Mississippi,MS,37180
Amite County,Mississippi,MS,12468
Attala County,Mississippi,MS,18581
Benton County,Mississippi,MS,8253
Bolivar County,Mississippi,MS,32592
Calhoun County,Mississippi,MS,14571
Carroll County,Mississippi,MS,10129
Chickasaw County,Mississippi,MS,17279
Choctaw County,Mississippi,MS,8321
Claiborne County,Mississippi,MS,9120
Clarke County,Mississippi,MS,15928
Clay County,Mississippi,MS,19808
Coahoma County,Mississippi,MS,23802
Copiah County,Mississippi,MS,28721
Covington County,Mississippi,MS,19091
DeSoto County,Mississippi,MS,176132
Forrest County,Mississippi,MS,75517
Franklin County,Mississippi,MS,7757
George County,Mississippi,MS,23710
Greene County,Mississippi,MS,13714
Grenada County,Mississippi,MS,21278
Hancock County,Mississippi,MS,46653
Harrison County,Mississippi,MS,202626
Hinds County,Mississippi,MS,241774
Holmes County,Mississippi,MS,18075
Humphreys County,Mississippi,MS,8539
Issaquena County,Mississippi,MS,1328
Itawamba County,Mississippi,MS,23480
Jackson County,Mississippi,MS,142014
Jasper County,Mississippi,MS,16529
Jefferson County,Mississippi,MS,7346
Jefferson Davis County,Mississippi,MS,11495
Jones County,Mississippi,MS,68454
Kemper County,Mississippi,MS,10107
Lafayette County,Mississippi,MS,53459
Lamar County,Mississippi,MS,61223
Lauderdale County,Mississippi,MS,77323
Lawrence County,Mississippi,MS,12630
Leake County,Mississippi,MS,22870
Lee County,Mississippi,MS,84915
Leflore County,Mississippi,MS,29804
Lincoln County,Mississippi,MS,34432
Lowndes County,Mississippi,MS,59437
Madison County,Mississippi,MS,103498
Marion County,Mississippi,MS,25202
Marshall County,Mississippi,MS,35787
Monroe County,Mississippi,MS,35840
Montgomery County,Mississippi,MS,10198
Neshoba County,Mississippi,MS,29376
Newton County,Mississippi,MS,21524
Noxubee County,Mississippi,MS,10828
Oktibbeha County,Mississippi,MS,49481
Panola County,Mississippi,MS,34243
Pearl River County,Mississippi,MS,55149
Perry County,Mississippi,MS,12028
Pike County,Mississippi,MS,39737
Pontotoc County,Mississippi,MS,31315
Prentiss County,Mississippi,MS,25360
Quitman County,Mississippi,MS,7372
Rankin County,Mississippi,MS,151240
Scott County,Mississippi,MS,28415
Sharkey County,Mississippi,MS,4511
Simpson County,Mississippi,MS,27073
Smith County,Mississippi,MS,16063
Stone County,Mississippi,MS,18375
Sunflower County,Mississippi,MS,26532
Tallahatchie County,Mississippi,MS,14361
Tate County,Mississippi,MS,28493
Tippah County,Mississippi,MS,21990
Tishomingo County,Mississippi,MS,19478
Tunica County,Mississippi,MS,10170
Union County,Mississippi,MS,28356
Walthall County,Mississippi,MS,14601
Warren County,Mississippi,MS,47075
Washington County,Mississippi,MS,47086
Wayne County,Mississippi,MS,20422
Webster County,Mississippi,MS,9828
Wilkinson County,Mississippi,MS,8990
Winston County,Mississippi,MS,18358
Yalobusha County,Mississippi,MS,12421
Yazoo County,Mississippi,MS,27974
Adair County,Missouri,MO,25325
Andrew County,Missouri,MO,17403
Atchison County,Missouri,MO,5270
Audrain County,Missouri,MO,25735
Barry County,Missouri,MO,35493
Barton County,Missouri,MO,11850
Bates County,Missouri,MO,16374
Benton County,Missouri,MO,18989
Bollinger County,Missouri,MO,12281
Boone County,Missouri,MO,176515
Buchanan County,Missouri,MO,89076
Butler County,Missouri,MO,42733
Caldwell County,Missouri,MO,9049
Callaway County,Missouri,MO,44840
Camden County,Missouri,MO,45096
Cape Girardeau County,Missouri,MO,78324
Carroll County,Missouri,MO,8843
Carter County,Missouri,MO,6197
Cass County,Missouri,MO,102678
Cedar County,Missouri,MO,13938
Chariton County,Missouri,MO,7546
Christian County,Missouri,MO,84275
Clark County,Missouri,MO,6800
Clay County,Missouri,MO,239164
Clinton County,Missouri,MO,20475
Cole County,Missouri,MO,76740
Cooper County,Missouri,MO,17622
Crawford County,Missouri,MO,24280
Dade County,Missouri,MO,7590
Dallas County,Missouri,MO,16499
Daviess County,Missouri,MO,8302
DeKalb County,Missouri,MO,12564
Dent County,Missouri,MO,15504
Douglas County,Missouri,MO,13374
Dunklin County,Missouri,MO,30428
Franklin County,Missouri,MO,102781
Gasconade County,Missouri,MO,14746
Gentry County,Missouri,MO,6665
Greene County,Missouri,MO,288429
Grundy County,Missouri,MO,10039
Harrison County,Missouri,MO,8554
Henry County,Missouri,MO,21765
Hickory County,Missouri,MO,9368
Holt County,Missouri,MO,4456
Howard County,Missouri,MO,10113
Howell County,Missouri,MO,40102
Iron County,Missouri,MO,10221
Jackson County,Missouri,MO,692003
Jasper County,Missouri,MO,119238
Jefferson County,Missouri,MO,223302
Johnson County,Missouri,MO,53689
Knox County,Missouri,MO,3951
Laclede County,Missouri,MO,35507
Lafayette County,Missouri,MO,32589
Lawrence County,Missouri,MO,38133
Lewis County,Missouri,MO,10027
Lincoln County,Missouri,MO,55563
Linn County,Missouri,MO,12186
Livingston County,Missouri,MO,15076
McDonald County,Missouri,MO,22827
Macon County,Missouri,MO,15254
Madison County,Missouri,MO,12205
Maries County,Missouri,MO,8884
Marion County,Missouri,MO,28672
Mercer County,Missouri,MO,3664
Miller County,Missouri,MO,25049
Mississippi County,Missouri,MO,13748
Moniteau County,Missouri,MO,15958
Monroe County,Missouri,MO,8654
Montgomery County,Missouri,MO,11545
Morgan County,Missouri,MO,20137
New Madrid County,Missouri,MO,17811
Newton County,Missouri,MO,58202
Nodaway County,Missouri,MO,22547
Oregon County,Missouri,MO,10699
Osage County,Missouri,MO,13619
Ozark County,Missouri,MO,9236
Pemiscot County,Missouri,MO,17031
Perry County,Missouri,MO,19146
Pettis County,Missouri,MO,42371
Phelps County,Missouri,MO,44789
Pike County,Missouri,MO,18489
Platte County,Missouri,MO,98824
Polk County,Missouri,MO,31549
Pulaski County,Missouri,MO,52591
Putnam County,Missouri,MO,4815
Ralls County,Missouri,MO,10217
Randolph County,Missouri,MO,24945
Ray County,Missouri,MO,22825
Reynolds County,Missouri,MO,6315
Ripley County,Missouri,MO,13693
St. Charles County,Missouri,MO,389985
St. Clair County,Missouri,MO,9383
Ste. Genevieve County,Missouri,MO,17871
St. Francois County,Missouri,MO,66342
St. Louis County,Missouri,MO,998684
Saline County,Missouri,MO,23102
Schuyler County,Missouri,MO,4502
Scotland County,Missouri,MO,4898
Scott County,Missouri,MO,38729
Shannon County,Missouri,MO,8246
Shelby County,Missouri,MO,6061
Stoddard County,Missouri,MO,29512
Stone County,Missouri,MO,31527
Sullivan County,Missouri,MO,6317
Taney County,Missouri,MO,54720
Texas County,Missouri,MO,25671
Vernon County,Missouri,MO,20691
Warren County,Missouri,MO,33908
Washington County,Missouri,MO,24931
Wayne County,Missouri,MO,13308
Webster County,Missouri,MO,38082
Worth County,Missouri,MO,2040
Wright County,Missouri,MO,18293
St. Louis city,Missouri,MO,311273
Beaverhead County,Montana,MT,9393
Big Horn County,Montana,MT,13376
Blaine County,Montana,MT,6727
Broadwater County,Montana,MT,5834
Carbon County,Montana,MT,10546
Carter County,Montana,MT,1318
Cascade County,Montana,MT,81746
Chouteau County,Montana,MT,5789
Custer County,Montana,MT,11845
Daniels County,Montana,MT,1753
Dawson County,Montana,MT,9191
Deer Lodge County,Montana,MT,9100
Fallon County,Montana,MT,2838
Fergus County,Montana,MT,11273
Flathead County,Montana,MT,98082
Gallatin County,Montana,MT,104729
Garfield County,Montana,MT,1141
Glacier County,Montana,MT,13699
Golden Valley County,Montana,MT,724
Granite County,Montana,MT,3269
Hill County,Montana,MT,16439
Jefferson County,Montana,MT,11778
Judith Basin County,Montana,MT,1951
Lake County,Montana,MT,29774
Lewis and Clark County,Montana,MT,67077
Liberty County,Montana,MT,2280
Lincoln County,Montana,MT,19358
McCone County,Montana,MT,1630
Madison County,Montana,MT,8218
Meagher County,Montana,MT,1968
Mineral County,Montana,MT,4211
Missoula County,Montana,MT,115983
Musselshell County,Montana,MT,4807
Park County,Montana,MT,16246
Petroleum County,Montana,MT,432
Phillips County,Montana,MT,4124
Pondera County,Montana,MT,6044
Powder River County,Montana,MT,1619
Powell County,Montana,MT,6861
Prairie County,Montana,MT,1342
Ravalli County,Montana,MT,41902
Richland County,Montana,MT,11360
Roosevelt County,Montana,MT,11228
Rosebud County,Montana,MT,9250
Sanders County,Montana,MT,11521
Sheridan County,Montana,MT,3574
Silver Bow County,Montana,MT,34814
Stillwater County,Montana,MT,9410
Sweet Grass County,Montana,MT,3653
Teton County,Montana,MT,6080
Toole County,Montana,MT,4976
Treasure County,Montana,MT,777
Valley County,Montana,MT,7532
Wheatland County,Montana,MT,2149
Wibaux County,Montana,MT,1175
Yellowstone County,Montana,MT,157816
Adams County,Nebraska,NE,31583
Antelope County,Nebraska,NE,6372
Arthur County,Nebraska,NE,418
Banner County,Nebraska,NE,696
Blaine County,Nebraska,NE,480
Boone County,Nebraska,NE,5313
Box Butte County,Nebraska,NE,11089
Boyd County,Nebraska,NE,2042
Brown County,Nebraska,NE,2988
Buffalo County,Nebraska,NE,49030
Burt County,Nebraska,NE,6528
Butler County,Nebraska,NE,8067
Cass County,Nebraska,NE,25702
Cedar County,Nebraska,NE,8523
Chase County,Nebraska,NE,3734
Cherry County,Nebraska,NE,5790
Cheyenne County,Nebraska,NE,9852
Clay County,Nebraska,NE,6232
Colfax County,Nebraska,NE,10760
Cuming County,Nebraska,NE,8991
Custer County,Nebraska,NE,10830
Dakota County,Nebraska,NE,20317
Dawes County,Nebraska,NE,8896
Dawson County,Nebraska,NE,23804
Deuel County,Nebraska,NE,1894
Dixon County,Nebraska,NE,5746
Dodge County,Nebraska,NE,36683
Douglas County,Nebraska,NE,554992
Dundy County,Nebraska,NE,2023
Fillmore County,Nebraska,NE,5574
Franklin County,Nebraska,NE,3006
Frontier County,Nebraska,NE,2609
Furnas County,Nebraska,NE,4786
Gage County,Nebraska,NE,21595
Garden County,Nebraska,NE,1860
Garfield County,Nebraska,NE,1975
Gosper County,Nebraska,NE,2015
Grant County,Nebraska,NE,718
Greeley County,Nebraska,NE,2410
Hall County,Nebraska,NE,61343
Hamilton County,Nebraska,NE,9178
Harlan County,Nebraska,NE,3438
Hayes County,Nebraska,NE,943
Hitchcock County,Nebraska,NE,2843
Holt County,Nebraska,NE,10245
Hooker County,Nebraska,NE,691
Howard County,Nebraska,NE,6405
Jefferson County,Nebraska,NE,7188
Johnson County,Nebraska,NE,5197
Kearney County,Nebraska,NE,6552
Keith County,Nebraska,NE,8099
Keya Paha County,Nebraska,NE,792
Kimball County,Nebraska,NE,3667
Knox County,Nebraska,NE,8460
Lancaster County,Nebraska,NE,310094
Lincoln County,Nebraska,NE,35433
Logan County,Nebraska,NE,886
Loup County,Nebraska,NE,585
McPherson County,Nebraska,NE,454
Madison County,Nebraska,NE,35164
Merrick County,Nebraska,NE,7803
Morrill County,Nebraska,NE,4841
Nance County,Nebraska,NE,3554
Nemaha County,Nebraska,NE,7004
Nuckolls County,Nebraska,NE,4275
Otoe County,Nebraska,NE,15896
Pawnee County,Nebraska,NE,2676
Perkins County,Nebraska,NE,2907
Phelps County,Nebraska,NE,9120
Pierce County,Nebraska,NE,7157
Platte County,Nebraska,NE,33063
Polk County,Nebraska,NE,5255
Red Willow County,Nebraska,NE,10806
Richardson County,Nebraska,NE,8009
Rock County,Nebraska,NE,1350
Saline County,Nebraska,NE,14288
Sarpy County,Nebraska,NE,178351
Saunders County,Nebraska,NE,21024
Scotts Bluff County,Nebraska,NE,36255
Seward County,Nebraska,NE,17127
Sheridan County,Nebraska,NE,5234
Sherman County,Nebraska,NE,3042
Sioux County,Nebraska,NE,1266
Stanton County,Nebraska,NE,5992
Thayer County,Nebraska,NE,5098
Thomas County,Nebraska,NE,645
Thurston County,Nebraska,NE,7140
Valley County,Nebraska,NE,4224
Washington County,Nebraska,NE,20219
Wayne County,Nebraska,NE,9367
Webster County,Nebraska,NE,3571
Wheeler County,Nebraska,NE,822
York County,Nebraska,NE,13799
Churchill County,Nevada,NV,24010
Clark County,Nevada,NV,2141574
Douglas County,Nevada,NV,47828
Elko County,Nevada,NV,52252
Esmeralda County,Nevada,NV,981
Eureka County,Nevada,NV,1830
Humboldt County,Nevada,NV,16904
Lander County,Nevada,NV,5746
Lincoln County,Nevada,NV,5174
Lyon County,Nevada,NV,53155
Mineral County,Nevada,NV,4448
Nye County,Nevada,NV,43705
Pershing County,Nevada,NV,6611
Storey County,Nevada,NV,3941
Washoe County,Nevada,NV,450486
White Pine County,Nevada,NV,9737
Carson City,Nevada,NV,54467
Belknap County,New Hampshire,NH,60640
Carroll County,New Hampshire,NH,47840
Cheshire County,New Hampshire,NH,76263
Coos County,New Hampshire,NH,32038
Grafton County,New Hampshire,NH,89811
Hillsborough County,New Hampshire,NH,411087
Merrimack County,New Hampshire,NH,149452
Rockingham County,New Hampshire,NH,305129
Strafford County,New Hampshire,NH,128237
Sullivan County,New Hampshire,NH,43125
Atlantic County,New Jersey,NJ,268539
Bergen County,New Jersey,NJ,929999
Burlington County,New Jersey,NJ,446367
Camden County,New Jersey,NJ,507367
Cape May County,New Jersey,NJ,93705
Cumberland County,New Jersey,NJ,153400
Essex County,New Jersey,NJ,793555
Gloucester County,New Jersey,NJ,290852
Hudson County,New Jersey,NJ,668631
Hunterdon County,New Jersey,NJ,125051
Mercer County,New Jersey,NJ,368762
Middlesex County,New Jersey,NJ,826698
Monmouth County,New Jersey,NJ,623387
Morris County,New Jersey,NJ,494383
Ocean County,New Jersey,NJ,591939
Passaic County,New Jersey,NJ,504041
Salem County,New Jersey,NJ,63336
Somerset County,New Jersey,NJ,330176
Sussex County,New Jersey,NJ,142298
Union County,New Jersey,NJ,553066
Warren County,New Jersey,NJ,106293
Bernalillo County,New Mexico,NM,677692
Catron County,New Mexico,NM,3539
Chaves County,New Mexico,NM,65459
Cibola County,New Mexico,NM,26978
Colfax County,New Mexico,NM,12353
Curry County,New Mexico,NM,50199
De Baca County,New Mexico,NM,2060
Do�a Ana County,New Mexico,NM,215338
Eddy County,New Mexico,NM,57437
Grant County,New Mexico,NM,28061
Guadalupe County,New Mexico,NM,4382
Harding County,New Mexico,NM,459
Hidalgo County,New Mexico,NM,4371
Lea County,New Mexico,NM,70126
Lincoln County,New Mexico,NM,19482
Los Alamos County,New Mexico,NM,18356
Luna County,New Mexico,NM,24264
McKinley County,New Mexico,NM,72849
Mora County,New Mexico,NM,4563
Otero County,New Mexico,NM,65745
Quay County,New Mexico,NM,8373
Rio Arriba County,New Mexico,NM,39307
Roosevelt County,New Mexico,NM,19117
Sandoval County,New Mexico,NM,140769
San Juan County,New Mexico,NM,127455
San Miguel County,New Mexico,NM,28034
Santa Fe County,New Mexico,NM,148917
Sierra County,New Mexico,NM,11135
Socorro County,New Mexico,NM,17000
Taos County,New Mexico,NM,32888
Torrance County,New Mexico,NM,15595
Union County,New Mexico,NM,4175
Valencia County,New Mexico,NM,75956
Albany County,New York,NY,307426
Allegany County,New York,NY,47025
Bronx County,New York,NY,1437872
Broome County,New York,NY,194402
Cattaraugus County,New York,NY,77686
Cayuga County,New York,NY,77868
Chautauqua County,New York,NY,129656
Chemung County,New York,NY,85740
Chenango County,New York,NY,48348
Clinton County,New York,NY,80794
Columbia County,New York,NY,60919
Cortland County,New York,NY,48123
Delaware County,New York,NY,45502
Dutchess County,New York,NY,293894
Erie County,New York,NY,919866
Essex County,New York,NY,37751
Franklin County,New York,NY,50692
Fulton County,New York,NY,53743
Genesee County,New York,NY,58112
Greene County,New York,NY,47617
Hamilton County,New York,NY,4575
Herkimer County,New York,NY,62505
Jefferson County,New York,NY,114448
Kings County,New York,NY,2600747
Lewis County,New York,NY,26719
Livingston County,New York,NY,63907
Madison County,New York,NY,71359
Monroe County,New York,NY,744248
Montgomery County,New York,NY,49426
Nassau County,New York,NY,1356564
New York County,New York,NY,1632480
Niagara County,New York,NY,211704
Oneida County,New York,NY,230782
Onondaga County,New York,NY,464242
Ontario County,New York,NY,109472
Orange County,New York,NY,378227
Orleans County,New York,NY,41175
Oswego County,New York,NY,119104
Otsego County,New York,NY,60244
Putnam County,New York,NY,99070
Queens County,New York,NY,2298513
Rensselaer County,New York,NY,159431
Richmond County,New York,NY,474101
Rockland County,New York,NY,323686
St. Lawrence County,New York,NY,109558
Saratoga County,New York,NY,227377
Schenectady County,New York,NY,154883
Schoharie County,New York,NY,31364
Schuyler County,New York,NY,17992
Seneca County,New York,NY,34612
Steuben County,New York,NY,96927
Suffolk County,New York,NY,1487901
Sullivan County,New York,NY,75211
Tioga County,New York,NY,49045
Tompkins County,New York,NY,102962
Ulster County,New York,NY,179303
Warren County,New York,NY,64480
Washington County,New York,NY,61828
Wayne County,New York,NY,90856
Westchester County,New York,NY,968815
Wyoming County,New York,NY,40565
Yates County,New York,NY,25009
Alamance County,North Carolina,NC,160576
Alexander County,North Carolina,NC,37119
Alleghany County,North Carolina,NC,10973
Anson County,North Carolina,NC,25306
Ashe County,North Carolina,NC,26786
Avery County,North Carolina,NC,17501
Beaufort County,North Carolina,NC,47243
Bertie County,North Carolina,NC,19644
Bladen County,North Carolina,NC,33778
Brunswick County,North Carolina,NC,126860
Buncombe County,North Carolina,NC,254474
Burke County,North Carolina,NC,89712
Cabarrus County,North Carolina,NC,201448
Caldwell County,North Carolina,NC,81779
Camden County,North Carolina,NC,10447
Carteret County,North Carolina,NC,68920
Caswell County,North Carolina,NC,22746
Catawba County,North Carolina,NC,156729
Chatham County,North Carolina,NC,69791
Cherokee County,North Carolina,NC,27668
Chowan County,North Carolina,NC,14205
Clay County,North Carolina,NC,10813
Cleveland County,North Carolina,NC,97159
Columbus County,North Carolina,NC,56293
Craven County,North Carolina,NC,103082
Cumberland County,North Carolina,NC,332106
Currituck County,North Carolina,NC,25796
Dare County,North Carolina,NC,35741
Davidson County,North Carolina,NC,164664
Davie County,North Carolina,NC,41991
Duplin County,North Carolina,NC,59062
Durham County,North Carolina,NC,306457
Edgecombe County,North Carolina,NC,53332
Forsyth County,North Carolina,NC,371573
Franklin County,North Carolina,NC,64902
Gaston County,North Carolina,NC,216585
Gates County,North Carolina,NC,11563
Graham County,North Carolina,NC,8557
Granville County,North Carolina,NC,58874
Greene County,North Carolina,NC,21008
Guilford County,North Carolina,NC,523582
Halifax County,North Carolina,NC,51737
Harnett County,North Carolina,NC,130361
Haywood County,North Carolina,NC,60433
Henderson County,North Carolina,NC,113625
Hertford County,North Carolina,NC,24153
Hoke County,North Carolina,NC,53239
Hyde County,North Carolina,NC,5393
Iredell County,North Carolina,NC,172525
Jackson County,North Carolina,NC,42256
Johnston County,North Carolina,NC,191172
Jones County,North Carolina,NC,9695
Lee County,North Carolina,NC,60125
Lenoir County,North Carolina,NC,57227
Lincoln County,North Carolina,NC,81441
McDowell County,North Carolina,NC,45109
Macon County,North Carolina,NC,34410
Madison County,North Carolina,NC,21405
Martin County,North Carolina,NC,23054
Mecklenburg County,North Carolina,NC,1054314
Mitchell County,North Carolina,NC,15040
Montgomery County,North Carolina,NC,27338
Moore County,North Carolina,NC,95629
Nash County,North Carolina,NC,94003
New Hanover County,North Carolina,NC,224231
Northampton County,North Carolina,NC,20186
Onslow County,North Carolina,NC,193912
Orange County,North Carolina,NC,142938
Pamlico County,North Carolina,NC,12742
Pasquotank County,North Carolina,NC,39479
Pender County,North Carolina,NC,59020
Perquimans County,North Carolina,NC,13459
Person County,North Carolina,NC,39305
Pitt County,North Carolina,NC,177372
Polk County,North Carolina,NC,20458
Randolph County,North Carolina,NC,142958
Richmond County,North Carolina,NC,45189
Robeson County,North Carolina,NC,133442
Rockingham County,North Carolina,NC,91270
Rowan County,North Carolina,NC,139605
Rutherford County,North Carolina,NC,66532
Sampson County,North Carolina,NC,63561
Scotland County,North Carolina,NC,35262
Stanly County,North Carolina,NC,61114
Stokes County,North Carolina,NC,45905
Surry County,North Carolina,NC,72099
Swain County,North Carolina,NC,14254
Transylvania County,North Carolina,NC,33513
Tyrrell County,North Carolina,NC,4119
Union County,North Carolina,NC,226694
Vance County,North Carolina,NC,44482
Wake County,North Carolina,NC,1046558
Warren County,North Carolina,NC,20033
Washington County,North Carolina,NC,12156
Watauga County,North Carolina,NC,54117
Wayne County,North Carolina,NC,124002
Wilkes County,North Carolina,NC,68460
Wilson County,North Carolina,NC,81336
Yadkin County,North Carolina,NC,37665
Yancey County,North Carolina,NC,17667
Adams County,North Dakota,ND,2351
Barnes County,North Dakota,ND,10836
Benson County,North Dakota,ND,6886
Billings County,North Dakota,ND,946
Bottineau County,North Dakota,ND,6589
Bowman County,North Dakota,ND,3195
Burke County,North Dakota,ND,2213
Burleigh County,North Dakota,ND,93737
Cass County,North Dakota,ND,174202
Cavalier County,North Dakota,ND,3824
Dickey County,North Dakota,ND,4970
Divide County,North Dakota,ND,2369
Dunn County,North Dakota,ND,4387
Eddy County,North Dakota,ND,2313
Emmons County,North Dakota,ND,3352
Foster County,North Dakota,ND,3290
Golden Valley County,North Dakota,ND,1882
Grand Forks County,North Dakota,ND,70400
Grant County,North Dakota,ND,2380
Griggs County,North Dakota,ND,2266
Hettinger County,North Dakota,ND,2576
Kidder County,North Dakota,ND,2460
LaMoure County,North Dakota,ND,4100
Logan County,North Dakota,ND,1927
McHenry County,North Dakota,ND,5927
McIntosh County,North Dakota,ND,2654
McKenzie County,North Dakota,ND,12536
McLean County,North Dakota,ND,9608
Mercer County,North Dakota,ND,8570
Morton County,North Dakota,ND,30544
Mountrail County,North Dakota,ND,10152
Nelson County,North Dakota,ND,2920
Oliver County,North Dakota,ND,1837
Pembina County,North Dakota,ND,7016
Pierce County,North Dakota,ND,4210
Ramsey County,North Dakota,ND,11557
Ransom County,North Dakota,ND,5361
Renville County,North Dakota,ND,2495
Richland County,North Dakota,ND,16288
Rolette County,North Dakota,ND,14603
Sargent County,North Dakota,ND,3883
Sheridan County,North Dakota,ND,1405
Sioux County,North Dakota,ND,4413
Slope County,North Dakota,ND,704
Stark County,North Dakota,ND,30876
Steele County,North Dakota,ND,1910
Stutsman County,North Dakota,ND,21064
Towner County,North Dakota,ND,2246
Traill County,North Dakota,ND,8019
Walsh County,North Dakota,ND,10802
Ward County,North Dakota,ND,69034
Wells County,North Dakota,ND,4055
Williams County,North Dakota,ND,34061
Adams County,Ohio,OH,27878
Allen County,Ohio,OH,103642
Ashland County,Ohio,OH,53477
Ashtabula County,Ohio,OH,98136
Athens County,Ohio,OH,65936
Auglaize County,Ohio,OH,45784
Belmont County,Ohio,OH,68472
Brown County,Ohio,OH,43679
Butler County,Ohio,OH,378294
Carroll County,Ohio,OH,27578
Champaign County,Ohio,OH,38864
Clark County,Ohio,OH,135198
Clermont County,Ohio,OH,203216
Clinton County,Ohio,OH,41896
Columbiana County,Ohio,OH,104003
Coshocton County,Ohio,OH,36574
Crawford County,Ohio,OH,42021
Cuyahoga County,Ohio,OH,1253783
Darke County,Ohio,OH,51734
Defiance County,Ohio,OH,38279
Delaware County,Ohio,OH,197008
Erie County,Ohio,OH,75136
Fairfield County,Ohio,OH,152910
Fayette County,Ohio,OH,28645
Franklin County,Ohio,OH,1275333
Fulton County,Ohio,OH,42305
Gallia County,Ohio,OH,30195
Geauga County,Ohio,OH,93961
Greene County,Ohio,OH,165811
Guernsey County,Ohio,OH,39274
Hamilton County,Ohio,OH,812037
Hancock County,Ohio,OH,75690
Hardin County,Ohio,OH,31542
Harrison County,Ohio,OH,15307
Henry County,Ohio,OH,27316
Highland County,Ohio,OH,43007
Hocking County,Ohio,OH,28495
Holmes County,Ohio,OH,43859
Huron County,Ohio,OH,58457
Jackson County,Ohio,OH,32524
Jefferson County,Ohio,OH,66886
Knox County,Ohio,OH,61215
Lake County,Ohio,OH,230052
Lawrence County,Ohio,OH,60622
Licking County,Ohio,OH,172293
Logan County,Ohio,OH,45307
Lorain County,Ohio,OH,306713
Lucas County,Ohio,OH,432379
Madison County,Ohio,OH,43988
Mahoning County,Ohio,OH,231064
Marion County,Ohio,OH,65344
Medina County,Ohio,OH,177257
Meigs County,Ohio,OH,23160
Mercer County,Ohio,OH,40806
Miami County,Ohio,OH,104800
Monroe County,Ohio,OH,14090
Montgomery County,Ohio,OH,532034
Morgan County,Ohio,OH,14702
Morrow County,Ohio,OH,34976
Muskingum County,Ohio,OH,86076
Noble County,Ohio,OH,14443
Ottawa County,Ohio,OH,40709
Paulding County,Ohio,OH,18872
Perry County,Ohio,OH,35985
Pickaway County,Ohio,OH,57420
Pike County,Ohio,OH,28214
Portage County,Ohio,OH,162644
Preble County,Ohio,OH,41207
Putnam County,Ohio,OH,33969
Richland County,Ohio,OH,121324
Ross County,Ohio,OH,77051
Sandusky County,Ohio,OH,59299
Scioto County,Ohio,OH,76377
Seneca County,Ohio,OH,55475
Shelby County,Ohio,OH,48797
